year,nace_r2_code,valShare_E111,valShare_E112,valShare_E121,valShare_E122,valShare_E131,valShare_E132,valShare_E211,valShare_E212,valShare_E221,valShare_E222,valShare_E231,valShare_E232,valShare_E311,valShare_E312,valShare_E321,valShare_E322,valShare_E331,valShare_E332,valShare_W111,valShare_W112,valShare_W121,valShare_W122,valShare_W131,valShare_W132,valShare_W211,valShare_W212,valShare_W221,valShare_W222,valShare_W231,valShare_W232,valShare_W311,valShare_W312,valShare_W321,valShare_W322,valShare_W331,valShare_W332
2003,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
